State/UTs,Confirmed,Active,Recovered,Deaths,Population
Andaman and Nicobar,363,166,196,1,380581
Andhra Pradesh,110297,56527,52622,1148,49577103
Arunachal Pradesh,1330,710,617,3,1383727
Assam,34947,8241,26618,88,31205576
Bihar,43843,14718,28856,269,104099452
Chandigarh,934,321,599,14,1055450
Chhattisgarh,8257,2772,5439,46,25545198
Dadra and Nagar Haveli and Daman and Diu,982,384,596,2,585764
Delhi,132275,10887,117507,3881,16787941
Goa,5287,1656,3595,36,1458545
Gujarat,57982,13198,42412,2372,60439692
Haryana,32876,6712,25758,406,25351462
Himachal Pradesh,2330,1082,1234,14,6864602
Jammu and Kashmir,18879,7661,10885,333,12267032
Jharkhand,9078,5121,3868,89,32988134
Karnataka,107001,64442,40504,2055,61095297
Kerala,20894,10103,10724,67,33406061
Ladakh,1327,254,1067,6,274000
Lakshadweep,0,0,0,0,64473
Madhya Pradesh,29217,8044,20343,830,72626809
Maharashtra,391440,144998,232277,14165,112374333
Manipur,2317,705,1612,0,2570390
Meghalaya,779,580,194,5,2966889
Mizoram,384,186,198,0,1097206
Nagaland,1460,878,577,5,1978502
Odisha,28107,9892,18061,154,41974219
Puducherry,3011,1182,1782,47,1247953
Punjab,14378,4290,9752,336,27743338
Rajasthan,38514,10668,27202,644,68548437
Sikkim,579,392,186,1,610577
Tamil Nadu,227688,57073,166956,3659,72147030
Telengana,57142,13753,42909,480,35003674
Tripura,4269,1627,2621,21,3673917
Uttar Pradesh,73951,27934,44520,1497,199812341
Uttarakhand,6587,2797,3720,70,10086292
West Bengal,62964,19493,42022,1449,91276115
