Date,Name_of_State,New_cases,New_deaths,New_recovered
15-06-2020,Haryana,648,7,490
16-06-2020,Haryana,565,3,394
17-06-2020,Haryana,679,5,404
18-06-2020,Haryana,691,3,461
19-06-2020,Haryana,495,3,310
20-06-2020,Haryana,956,16,1078
21-06-2020,Haryana,1039,9,1238
22-06-2020,Haryana,568,11,520
23-06-2020,Haryana,731,8,997
24-06-2020,Haryana,381,9,585
25-06-2020,Haryana,402,5,445
27-06-2020,Haryana,543,7,456
28-06-2020,Haryana,874,23,1091
29-06-2020,Haryana,490,10,427
30-06-2020,Haryana,495,9,582
02-07-2020,Haryana,390,9,359
03-07-2020,Haryana,412,11,429
05-07-2020,Haryana,480,5,239
07-07-2020,Haryana,525,10,333
08-07-2020,Haryana,386,4,604
09-07-2020,Haryana,560,12,204
10-07-2020,Haryana,550,18,183
11-07-2020,Haryana,514,12,562
12-07-2020,Haryana,459,10,200
13-07-2020,Haryana,415,8,328
14-07-2020,Haryana,366,6,215
15-07-2020,Haryana,389,12,72
